Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: addition cpu,	2,	0.000000170,	0.000000090,	2
M1: addition cpu,	2,	0.000000053,	0.000000008,	4
M1: addition cpu,	2,	0.000000036,	0.000000010,	8
M1: addition cpu,	2,	0.000000034,	0.000000006,	16
M1: addition cpu,	2,	0.000000034,	0.000000005,	32
M1: addition cpu,	2,	0.000000034,	0.000000005,	64
M1: addition cpu,	2,	0.000000034,	0.000000005,	128
M1: addition cpu,	2,	0.000000033,	0.000000006,	256
M1: addition cpu,	2,	0.000000034,	0.000000005,	512
M1: addition cpu,	2,	0.000000033,	0.000000005,	1024
M1: addition cpu,	2,	0.000000034,	0.000000005,	2048
M1: addition cpu,	2,	0.000000033,	0.000000005,	4096
M1: addition cpu,	2,	0.000000033,	0.000000006,	8192
M1: addition cpu,	2,	0.000000025,	0.000000005,	16384
M1: addition cpu,	2,	0.000000026,	0.000000059,	32768
M1: addition cpu,	2,	0.000000027,	0.000000037,	65536
M1: addition cpu,	2,	0.000000028,	0.000000049,	131072
M1: addition cpu,	2,	0.000000028,	0.000000051,	262144
M1: addition cpu,	2,	0.000000032,	0.000000137,	524288
M1: addition cpu,	2,	0.000000028,	0.000000213,	1048576
M1: addition cpu,	2,	0.000000029,	0.000000233,	2097152
M1: addition cpu,	2,	0.000000029,	0.000000111,	4194304
M1: addition cpu,	2,	0.000000029,	0.000000540,	8388608
M1: addition cpu,	2,	0.000000029,	0.000000115,	16777216
M1: addition cpu,	2,	0.000000028,	0.000000090,	33554432
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: addition cpu,	4,	0.000000180,	0.000000070,	2
M1: addition cpu,	4,	0.000000065,	0.000000021,	4
M1: addition cpu,	4,	0.000000045,	0.000000005,	8
M1: addition cpu,	4,	0.000000051,	0.000000006,	16
M1: addition cpu,	4,	0.000000047,	0.000000005,	32
M1: addition cpu,	4,	0.000000048,	0.000000005,	64
M1: addition cpu,	4,	0.000000048,	0.000000004,	128
M1: addition cpu,	4,	0.000000048,	0.000000005,	256
M1: addition cpu,	4,	0.000000048,	0.000000004,	512
M1: addition cpu,	4,	0.000000047,	0.000000005,	1024
M1: addition cpu,	4,	0.000000048,	0.000000005,	2048
M1: addition cpu,	4,	0.000000047,	0.000000005,	4096
M1: addition cpu,	4,	0.000000047,	0.000000005,	8192
M1: addition cpu,	4,	0.000000047,	0.000000006,	16384
M1: addition cpu,	4,	0.000000048,	0.000000033,	32768
M1: addition cpu,	4,	0.000000047,	0.000000005,	65536
M1: addition cpu,	4,	0.000000049,	0.000000036,	131072
M1: addition cpu,	4,	0.000000050,	0.000000192,	262144
M1: addition cpu,	4,	0.000000051,	0.000000152,	524288
M1: addition cpu,	4,	0.000000049,	0.000000146,	1048576
M1: addition cpu,	4,	0.000000050,	0.000000106,	2097152
M1: addition cpu,	4,	0.000000050,	0.000000175,	4194304
M1: addition cpu,	4,	0.000000049,	0.000000091,	8388608
M1: addition cpu,	4,	0.000000050,	0.000000103,	16777216
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: addition cpu,	8,	0.000000260,	0.000000070,	2
M1: addition cpu,	8,	0.000000135,	0.000000009,	4
M1: addition cpu,	8,	0.000000133,	0.000000007,	8
M1: addition cpu,	8,	0.000000134,	0.000000006,	16
M1: addition cpu,	8,	0.000000128,	0.000000006,	32
M1: addition cpu,	8,	0.000000131,	0.000000005,	64
M1: addition cpu,	8,	0.000000127,	0.000000005,	128
M1: addition cpu,	8,	0.000000129,	0.000000004,	256
M1: addition cpu,	8,	0.000000130,	0.000000006,	512
M1: addition cpu,	8,	0.000000128,	0.000000006,	1024
M1: addition cpu,	8,	0.000000129,	0.000000005,	2048
M1: addition cpu,	8,	0.000000129,	0.000000005,	4096
M1: addition cpu,	8,	0.000000128,	0.000000005,	8192
M1: addition cpu,	8,	0.000000129,	0.000000066,	16384
M1: addition cpu,	8,	0.000000129,	0.000000044,	32768
M1: addition cpu,	8,	0.000000131,	0.000000056,	65536
M1: addition cpu,	8,	0.000000132,	0.000000118,	131072
M1: addition cpu,	8,	0.000000130,	0.000000078,	262144
M1: addition cpu,	8,	0.000000132,	0.000000072,	524288
M1: addition cpu,	8,	0.000000135,	0.000000177,	1048576
M1: addition cpu,	8,	0.000000136,	0.000000105,	2097152
M1: addition cpu,	8,	0.000000135,	0.000000156,	4194304
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: addition cpu,	16,	0.000000565,	0.000000075,	2
M1: addition cpu,	16,	0.000000462,	0.000000008,	4
M1: addition cpu,	16,	0.000000462,	0.000000007,	8
M1: addition cpu,	16,	0.000000463,	0.000000008,	16
M1: addition cpu,	16,	0.000000462,	0.000000010,	32
