Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: multiplication cpu,	2,	0.000000160,	0.000000090,	2
M1: multiplication cpu,	2,	0.000000045,	0.000000009,	4
M1: multiplication cpu,	2,	0.000000042,	0.000000004,	8
M1: multiplication cpu,	2,	0.000000041,	0.000000002,	16
M1: multiplication cpu,	2,	0.000000042,	0.000000004,	32
M1: multiplication cpu,	2,	0.000000042,	0.000000005,	64
M1: multiplication cpu,	2,	0.000000041,	0.000000003,	128
M1: multiplication cpu,	2,	0.000000041,	0.000000003,	256
M1: multiplication cpu,	2,	0.000000041,	0.000000004,	512
M1: multiplication cpu,	2,	0.000000041,	0.000000004,	1024
M1: multiplication cpu,	2,	0.000000041,	0.000000004,	2048
M1: multiplication cpu,	2,	0.000000041,	0.000000004,	4096
M1: multiplication cpu,	2,	0.000000043,	0.000000080,	8192
M1: multiplication cpu,	2,	0.000000043,	0.000000114,	16384
M1: multiplication cpu,	2,	0.000000042,	0.000000004,	32768
M1: multiplication cpu,	2,	0.000000042,	0.000000004,	65536
M1: multiplication cpu,	2,	0.000000042,	0.000000013,	131072
M1: multiplication cpu,	2,	0.000000042,	0.000000019,	262144
M1: multiplication cpu,	2,	0.000000042,	0.000000034,	524288
M1: multiplication cpu,	2,	0.000000042,	0.000000030,	1048576
M1: multiplication cpu,	2,	0.000000042,	0.000000036,	2097152
M1: multiplication cpu,	2,	0.000000042,	0.000000037,	4194304
M1: multiplication cpu,	2,	0.000000042,	0.000000032,	8388608
M1: multiplication cpu,	2,	0.000000042,	0.000000059,	16777216
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: multiplication cpu,	4,	0.000000390,	0.000000130,	2
M1: multiplication cpu,	4,	0.000000252,	0.000000054,	4
M1: multiplication cpu,	4,	0.000000219,	0.000000013,	8
M1: multiplication cpu,	4,	0.000000228,	0.000000022,	16
M1: multiplication cpu,	4,	0.000000207,	0.000000007,	32
M1: multiplication cpu,	4,	0.000000213,	0.000000013,	64
M1: multiplication cpu,	4,	0.000000206,	0.000000008,	128
M1: multiplication cpu,	4,	0.000000205,	0.000000006,	256
M1: multiplication cpu,	4,	0.000000206,	0.000000007,	512
M1: multiplication cpu,	4,	0.000000207,	0.000000007,	1024
M1: multiplication cpu,	4,	0.000000209,	0.000000009,	2048
M1: multiplication cpu,	4,	0.000000186,	0.000000019,	4096
M1: multiplication cpu,	4,	0.000000170,	0.000000005,	8192
M1: multiplication cpu,	4,	0.000000175,	0.000000631,	16384
M1: multiplication cpu,	4,	0.000000173,	0.000000409,	32768
M1: multiplication cpu,	4,	0.000000173,	0.000000110,	65536
M1: multiplication cpu,	4,	0.000000167,	0.000000082,	131072
M1: multiplication cpu,	4,	0.000000175,	0.000000225,	262144
M1: multiplication cpu,	4,	0.000000169,	0.000000047,	524288
M1: multiplication cpu,	4,	0.000000170,	0.000000098,	1048576
M1: multiplication cpu,	4,	0.000000167,	0.000000061,	2097152
M1: multiplication cpu,	4,	0.000000167,	0.000000064,	4194304
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: multiplication cpu,	8,	0.000001435,	0.000000095,	2
M1: multiplication cpu,	8,	0.000001310,	0.000000076,	4
M1: multiplication cpu,	8,	0.000001260,	0.000000017,	8
M1: multiplication cpu,	8,	0.000001264,	0.000000011,	16
M1: multiplication cpu,	8,	0.000001262,	0.000000012,	32
M1: multiplication cpu,	8,	0.000001263,	0.000000011,	64
M1: multiplication cpu,	8,	0.000001254,	0.000000019,	128
M1: multiplication cpu,	8,	0.000001256,	0.000000011,	256
M1: multiplication cpu,	8,	0.000001250,	0.000000014,	512
M1: multiplication cpu,	8,	0.000001256,	0.000000016,	1024
M1: multiplication cpu,	8,	0.000001264,	0.000000232,	2048
M1: multiplication cpu,	8,	0.000001257,	0.000000025,	4096
M1: multiplication cpu,	8,	0.000001264,	0.000000166,	8192
M1: multiplication cpu,	8,	0.000001263,	0.000000185,	16384
M1: multiplication cpu,	8,	0.000001263,	0.000000122,	32768
M1: multiplication cpu,	8,	0.000001285,	0.000000178,	65536
M1: multiplication cpu,	8,	0.000001261,	0.000000122,	131072
M1: multiplication cpu,	8,	0.000001262,	0.000000134,	262144
M1: multiplication cpu,	8,	0.000001269,	0.000000272,	524288
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: multiplication cpu,	16,	0.000010520,	0.000000030,	2
M1: multiplication cpu,	16,	0.000010380,	0.000000024,	4
M1: multiplication cpu,	16,	0.000010354,	0.000000048,	8
M1: multiplication cpu,	16,	0.000010355,	0.000000042,	16
M1: multiplication cpu,	16,	0.000010350,	0.000000043,	32
M1: multiplication cpu,	16,	0.000010515,	0.000001206,	64
M1: multiplication cpu,	16,	0.000010392,	0.000000056,	128
M1: multiplication cpu,	16,	0.000010426,	0.000000255,	256
M1: multiplication cpu,	16,	0.000010450,	0.000000459,	512
M1: multiplication cpu,	16,	0.000010455,	0.000000553,	1024
M1: multiplication cpu,	16,	0.000010465,	0.000000927,	2048
M1: multiplication cpu,	16,	0.000010442,	0.000000459,	4096
M1: multiplication cpu,	16,	0.000010442,	0.000000337,	8192
M1: multiplication cpu,	16,	0.000010517,	0.000000465,	16384
M1: multiplication cpu,	16,	0.000010455,	0.000000447,	32768
M1: multiplication cpu,	16,	0.000010462,	0.000000428,	65536
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: multiplication cpu,	32,	0.000082715,	0.000000434,	2
M1: multiplication cpu,	32,	0.000082287,	0.000000099,	4
M1: multiplication cpu,	32,	0.000082391,	0.000000230,	8
M1: multiplication cpu,	32,	0.000082836,	0.000000245,	16
M1: multiplication cpu,	32,	0.000084165,	0.000003817,	32
M1: multiplication cpu,	32,	0.000083359,	0.000002118,	64
M1: multiplication cpu,	32,	0.000083336,	0.000001059,	128
M1: multiplication cpu,	32,	0.000083402,	0.000001736,	256
M1: multiplication cpu,	32,	0.000083337,	0.000001013,	512
M1: multiplication cpu,	32,	0.000083944,	0.000004297,	1024
M1: multiplication cpu,	32,	0.000083714,	0.000002563,	2048
M1: multiplication cpu,	32,	0.000083925,	0.000003595,	4096
M1: multiplication cpu,	32,	0.000083920,	0.000002714,	8192
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: multiplication cpu,	64,	0.000710230,	0.000001075,	2
M1: multiplication cpu,	64,	0.000709689,	0.000003749,	4
M1: multiplication cpu,	64,	0.000710820,	0.000004588,	8
M1: multiplication cpu,	64,	0.000718845,	0.000006344,	16
M1: multiplication cpu,	64,	0.000685620,	0.000023692,	32
M1: multiplication cpu,	64,	0.000675990,	0.000018267,	64
M1: multiplication cpu,	64,	0.000727459,	0.000060759,	128
M1: multiplication cpu,	64,	0.000697256,	0.000034905,	256
M1: multiplication cpu,	64,	0.000694025,	0.000023328,	512
M1: multiplication cpu,	64,	0.000696776,	0.000031654,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: multiplication cpu,	128,	0.005327509,	0.000013951,	2
M1: multiplication cpu,	128,	0.005335884,	0.000025149,	4
M1: multiplication cpu,	128,	0.005320371,	0.000006803,	8
M1: multiplication cpu,	128,	0.005392817,	0.000073152,	16
M1: multiplication cpu,	128,	0.005380032,	0.000022428,	32
M1: multiplication cpu,	128,	0.005402539,	0.000026919,	64
M1: multiplication cpu,	128,	0.005396802,	0.000025321,	128
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: multiplication cpu,	256,	0.043240742,	0.000084402,	2
M1: multiplication cpu,	256,	0.043510219,	0.000213771,	4
M1: multiplication cpu,	256,	0.043382608,	0.000211601,	8
M1: multiplication cpu,	256,	0.042968587,	0.000274243,	16
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: multiplication cpu,	512,	0.372649097,	0.001363539,	2
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: multiplication cpu,	1024,	2.982745355,	0.006326084,	2
