Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: addition gpu multi core,	2,	0.001382859,	0.000572906,	2
M1: addition gpu multi core,	2,	0.000609605,	0.000099096,	4
M1: addition gpu multi core,	2,	0.000593828,	0.000044347,	8
M1: addition gpu multi core,	2,	0.000535638,	0.000056978,	16
M1: addition gpu multi core,	2,	0.000574581,	0.000044943,	32
M1: addition gpu multi core,	2,	0.000584508,	0.000080753,	64
M1: addition gpu multi core,	2,	0.000517347,	0.000038910,	128
M1: addition gpu multi core,	2,	0.000501045,	0.000024700,	256
M1: addition gpu multi core,	2,	0.000500180,	0.000026303,	512
M1: addition gpu multi core,	2,	0.000505752,	0.000059338,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: addition gpu multi core,	4,	0.001393748,	0.000660415,	2
M1: addition gpu multi core,	4,	0.000577385,	0.000061373,	4
M1: addition gpu multi core,	4,	0.000575252,	0.000069768,	8
M1: addition gpu multi core,	4,	0.000524093,	0.000090397,	16
M1: addition gpu multi core,	4,	0.000511035,	0.000047831,	32
M1: addition gpu multi core,	4,	0.000510289,	0.000061668,	64
M1: addition gpu multi core,	4,	0.000522989,	0.000056175,	128
M1: addition gpu multi core,	4,	0.000521587,	0.000053515,	256
M1: addition gpu multi core,	4,	0.000528440,	0.000058727,	512
M1: addition gpu multi core,	4,	0.000528253,	0.000071214,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: addition gpu multi core,	8,	0.001280311,	0.000692685,	2
M1: addition gpu multi core,	8,	0.000514316,	0.000016019,	4
M1: addition gpu multi core,	8,	0.000549130,	0.000083188,	8
M1: addition gpu multi core,	8,	0.000502440,	0.000041779,	16
M1: addition gpu multi core,	8,	0.000582767,	0.000050643,	32
M1: addition gpu multi core,	8,	0.000581154,	0.000082111,	64
M1: addition gpu multi core,	8,	0.000542124,	0.000051919,	128
M1: addition gpu multi core,	8,	0.000501422,	0.000085566,	256
M1: addition gpu multi core,	8,	0.000465974,	0.000045936,	512
M1: addition gpu multi core,	8,	0.000484530,	0.000039981,	1024
M1: addition gpu multi core,	8,	0.000499641,	0.000049146,	2048
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: addition gpu multi core,	16,	0.001194890,	0.000641285,	2
M1: addition gpu multi core,	16,	0.000537031,	0.000013684,	4
M1: addition gpu multi core,	16,	0.000538578,	0.000028178,	8
M1: addition gpu multi core,	16,	0.000534511,	0.000016948,	16
M1: addition gpu multi core,	16,	0.000495065,	0.000059363,	32
