Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: multiplication gpu multi core unwrapping i,	2,	0.001341704,	0.000758108,	2
M1: multiplication gpu multi core unwrapping i,	2,	0.000618600,	0.000106634,	4
M1: multiplication gpu multi core unwrapping i,	2,	0.000541923,	0.000021356,	8
M1: multiplication gpu multi core unwrapping i,	2,	0.000583345,	0.000087821,	16
M1: multiplication gpu multi core unwrapping i,	2,	0.000526635,	0.000049471,	32
M1: multiplication gpu multi core unwrapping i,	2,	0.000519148,	0.000057670,	64
M1: multiplication gpu multi core unwrapping i,	2,	0.000507328,	0.000033241,	128
M1: multiplication gpu multi core unwrapping i,	2,	0.000511658,	0.000030465,	256
M1: multiplication gpu multi core unwrapping i,	2,	0.000516891,	0.000032734,	512
M1: multiplication gpu multi core unwrapping i,	2,	0.000529362,	0.000173496,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: multiplication gpu multi core unwrapping i,	4,	0.001372634,	0.000684079,	2
M1: multiplication gpu multi core unwrapping i,	4,	0.000553083,	0.000009047,	4
M1: multiplication gpu multi core unwrapping i,	4,	0.000598505,	0.000099356,	8
M1: multiplication gpu multi core unwrapping i,	4,	0.000531892,	0.000030079,	16
M1: multiplication gpu multi core unwrapping i,	4,	0.000546536,	0.000043544,	32
M1: multiplication gpu multi core unwrapping i,	4,	0.000554533,	0.000047352,	64
M1: multiplication gpu multi core unwrapping i,	4,	0.000535027,	0.000062591,	128
M1: multiplication gpu multi core unwrapping i,	4,	0.000522736,	0.000076729,	256
M1: multiplication gpu multi core unwrapping i,	4,	0.000528841,	0.000054956,	512
M1: multiplication gpu multi core unwrapping i,	4,	0.000516065,	0.000047128,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: multiplication gpu multi core unwrapping i,	8,	0.001346060,	0.000755764,	2
M1: multiplication gpu multi core unwrapping i,	8,	0.000565101,	0.000025712,	4
M1: multiplication gpu multi core unwrapping i,	8,	0.000549638,	0.000094950,	8
M1: multiplication gpu multi core unwrapping i,	8,	0.000528900,	0.000034195,	16
M1: multiplication gpu multi core unwrapping i,	8,	0.000487412,	0.000029965,	32
M1: multiplication gpu multi core unwrapping i,	8,	0.000490570,	0.000023671,	64
M1: multiplication gpu multi core unwrapping i,	8,	0.000505821,	0.000031608,	128
M1: multiplication gpu multi core unwrapping i,	8,	0.000503908,	0.000038260,	256
M1: multiplication gpu multi core unwrapping i,	8,	0.000500772,	0.000039036,	512
M1: multiplication gpu multi core unwrapping i,	8,	0.000498760,	0.000034960,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: multiplication gpu multi core unwrapping i,	16,	0.001250131,	0.000701235,	2
M1: multiplication gpu multi core unwrapping i,	16,	0.000518263,	0.000016719,	4
M1: multiplication gpu multi core unwrapping i,	16,	0.000594457,	0.000165220,	8
M1: multiplication gpu multi core unwrapping i,	16,	0.000488978,	0.000016251,	16
M1: multiplication gpu multi core unwrapping i,	16,	0.000487366,	0.000033531,	32
M1: multiplication gpu multi core unwrapping i,	16,	0.000481681,	0.000028140,	64
M1: multiplication gpu multi core unwrapping i,	16,	0.000515000,	0.000040042,	128
M1: multiplication gpu multi core unwrapping i,	16,	0.000521510,	0.000041923,	256
M1: multiplication gpu multi core unwrapping i,	16,	0.000514524,	0.000042889,	512
M1: multiplication gpu multi core unwrapping i,	16,	0.000509695,	0.000044773,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
