Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: qr cpu,	2,	0.000000675,	0.000000525,	2
M1: qr cpu,	2,	0.000000150,	0.000000029,	4
M1: qr cpu,	2,	0.000000119,	0.000000011,	8
M1: qr cpu,	2,	0.000000112,	0.000000007,	16
M1: qr cpu,	2,	0.000000112,	0.000000012,	32
M1: qr cpu,	2,	0.000000128,	0.000000008,	64
M1: qr cpu,	2,	0.000000116,	0.000000016,	128
M1: qr cpu,	2,	0.000000112,	0.000000007,	256
M1: qr cpu,	2,	0.000000112,	0.000000006,	512
M1: qr cpu,	2,	0.000000110,	0.000000005,	1024
M1: qr cpu,	2,	0.000000111,	0.000000006,	2048
M1: qr cpu,	2,	0.000000113,	0.000000008,	4096
M1: qr cpu,	2,	0.000000102,	0.000000195,	8192
M1: qr cpu,	2,	0.000000090,	0.000000006,	16384
M1: qr cpu,	2,	0.000000091,	0.000000128,	32768
M1: qr cpu,	2,	0.000000090,	0.000000073,	65536
M1: qr cpu,	2,	0.000000090,	0.000000118,	131072
M1: qr cpu,	2,	0.000000090,	0.000000060,	262144
M1: qr cpu,	2,	0.000000090,	0.000000090,	524288
M1: qr cpu,	2,	0.000000096,	0.000004017,	1048576
M1: qr cpu,	2,	0.000000090,	0.000000056,	2097152
M1: qr cpu,	2,	0.000000091,	0.000000497,	4194304
M1: qr cpu,	2,	0.000000090,	0.000000092,	8388608
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: qr cpu,	4,	0.000001140,	0.000000580,	2
M1: qr cpu,	4,	0.000000343,	0.000000033,	4
M1: qr cpu,	4,	0.000000322,	0.000000004,	8
M1: qr cpu,	4,	0.000000319,	0.000000004,	16
M1: qr cpu,	4,	0.000000325,	0.000000016,	32
M1: qr cpu,	4,	0.000000413,	0.000000018,	64
M1: qr cpu,	4,	0.000000347,	0.000000051,	128
M1: qr cpu,	4,	0.000000320,	0.000000007,	256
M1: qr cpu,	4,	0.000000319,	0.000000006,	512
M1: qr cpu,	4,	0.000000323,	0.000000022,	1024
M1: qr cpu,	4,	0.000000319,	0.000000008,	2048
M1: qr cpu,	4,	0.000000276,	0.000000221,	4096
M1: qr cpu,	4,	0.000000261,	0.000000054,	8192
M1: qr cpu,	4,	0.000000259,	0.000000009,	16384
M1: qr cpu,	4,	0.000000260,	0.000000097,	32768
M1: qr cpu,	4,	0.000000259,	0.000000078,	65536
M1: qr cpu,	4,	0.000000260,	0.000000106,	131072
M1: qr cpu,	4,	0.000000264,	0.000000106,	262144
M1: qr cpu,	4,	0.000000263,	0.000000088,	524288
M1: qr cpu,	4,	0.000000261,	0.000000152,	1048576
M1: qr cpu,	4,	0.000000259,	0.000000078,	2097152
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: qr cpu,	8,	0.000002585,	0.000000595,	2
M1: qr cpu,	8,	0.000001675,	0.000000155,	4
M1: qr cpu,	8,	0.000001564,	0.000000034,	8
M1: qr cpu,	8,	0.000001565,	0.000000025,	16
M1: qr cpu,	8,	0.000001582,	0.000000055,	32
M1: qr cpu,	8,	0.000002039,	0.000000059,	64
M1: qr cpu,	8,	0.000001665,	0.000000188,	128
M1: qr cpu,	8,	0.000001550,	0.000000016,	256
M1: qr cpu,	8,	0.000001555,	0.000000016,	512
M1: qr cpu,	8,	0.000001571,	0.000000174,	1024
M1: qr cpu,	8,	0.000001280,	0.000000121,	2048
M1: qr cpu,	8,	0.000001289,	0.000001155,	4096
M1: qr cpu,	8,	0.000001327,	0.000000831,	8192
M1: qr cpu,	8,	0.000001261,	0.000000227,	16384
M1: qr cpu,	8,	0.000001263,	0.000000189,	32768
M1: qr cpu,	8,	0.000001263,	0.000000141,	65536
M1: qr cpu,	8,	0.000001278,	0.000000206,	131072
M1: qr cpu,	8,	0.000001263,	0.000000138,	262144
M1: qr cpu,	8,	0.000001270,	0.000000201,	524288
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: qr cpu,	16,	0.000009245,	0.000000485,	2
M1: qr cpu,	16,	0.000008387,	0.000000066,	4
M1: qr cpu,	16,	0.000008295,	0.000000032,	8
M1: qr cpu,	16,	0.000008291,	0.000000030,	16
M1: qr cpu,	16,	0.000008300,	0.000000032,	32
M1: qr cpu,	16,	0.000009495,	0.000000387,	64
M1: qr cpu,	16,	0.000009165,	0.000001452,	128
M1: qr cpu,	16,	0.000008410,	0.000000295,	256
M1: qr cpu,	16,	0.000008394,	0.000000090,	512
