Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: qr gpu parallel max,	2,	0.001820165,	0.001001212,	2
M1: qr gpu parallel max,	2,	0.000801487,	0.000008132,	4
M1: qr gpu parallel max,	2,	0.000846240,	0.000125241,	8
M1: qr gpu parallel max,	2,	0.000858050,	0.000160817,	16
M1: qr gpu parallel max,	2,	0.001112103,	0.000184329,	32
M1: qr gpu parallel max,	2,	0.001042319,	0.000216611,	64
M1: qr gpu parallel max,	2,	0.000782089,	0.000108352,	128
M1: qr gpu parallel max,	2,	0.000797186,	0.000137920,	256
M1: qr gpu parallel max,	2,	0.001096961,	0.000183178,	512
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: qr gpu parallel max,	4,	0.002312372,	0.000754094,	2
M1: qr gpu parallel max,	4,	0.001339263,	0.000108939,	4
M1: qr gpu parallel max,	4,	0.001417408,	0.000156105,	8
M1: qr gpu parallel max,	4,	0.001261193,	0.000114790,	16
M1: qr gpu parallel max,	4,	0.001417919,	0.000345988,	32
M1: qr gpu parallel max,	4,	0.001234298,	0.000156480,	64
M1: qr gpu parallel max,	4,	0.001206974,	0.000118713,	128
M1: qr gpu parallel max,	4,	0.001202666,	0.000121589,	256
M1: qr gpu parallel max,	4,	0.001171597,	0.000099403,	512
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: qr gpu parallel max,	8,	0.003614302,	0.000782563,	2
M1: qr gpu parallel max,	8,	0.003433566,	0.001237487,	4
M1: qr gpu parallel max,	8,	0.003023691,	0.000980694,	8
M1: qr gpu parallel max,	8,	0.002943150,	0.001047123,	16
M1: qr gpu parallel max,	8,	0.003147740,	0.001178062,	32
M1: qr gpu parallel max,	8,	0.002745379,	0.000751309,	64
M1: qr gpu parallel max,	8,	0.002725906,	0.000719942,	128
M1: qr gpu parallel max,	8,	0.002591144,	0.000469166,	256
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: qr gpu parallel max,	16,	0.008650141,	0.001028741,	2
M1: qr gpu parallel max,	16,	0.007651644,	0.000055815,	4
M1: qr gpu parallel max,	16,	0.011770609,	0.004756067,	8
M1: qr gpu parallel max,	16,	0.010430345,	0.004334060,	16
M1: qr gpu parallel max,	16,	0.007594629,	0.000217251,	32
M1: qr gpu parallel max,	16,	0.008021024,	0.001865412,	64
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: qr gpu parallel max,	32,	0.031222689,	0.001182004,	2
M1: qr gpu parallel max,	32,	0.030753191,	0.003149253,	4
M1: qr gpu parallel max,	32,	0.028139487,	0.003240395,	8
M1: qr gpu parallel max,	32,	0.033716618,	0.004338588,	16
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: qr gpu parallel max,	64,	0.105962273,	0.000094984,	2
M1: qr gpu parallel max,	64,	0.114499783,	0.015308801,	4
M1: qr gpu parallel max,	64,	0.106629112,	0.002927687,	8
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: qr gpu parallel max,	128,	0.409679805,	0.001505302,	2
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: qr gpu parallel max,	256,	1.670904752,	0.005871479,	2
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: qr gpu parallel max,	512,	7.697693179,	1.051845354,	2
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: qr gpu parallel max,	1024,	37.625422272,	1.714221919,	2
