Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
addition cpu,	2,	0.000000226,	0.000000145,	2
addition cpu,	2,	0.000000043,	0.000000016,	4
addition cpu,	2,	0.000000031,	0.000000003,	8
addition cpu,	2,	0.000000031,	0.000000002,	16
addition cpu,	2,	0.000000031,	0.000000004,	32
addition cpu,	2,	0.000000032,	0.000000004,	64
addition cpu,	2,	0.000000031,	0.000000004,	128
addition cpu,	2,	0.000000032,	0.000000004,	256
addition cpu,	2,	0.000000032,	0.000000004,	512
addition cpu,	2,	0.000000031,	0.000000003,	1024
addition cpu,	2,	0.000000032,	0.000000004,	2048
addition cpu,	2,	0.000000032,	0.000000004,	4096
addition cpu,	2,	0.000000034,	0.000000016,	8192
addition cpu,	2,	0.000000032,	0.000000004,	16384
addition cpu,	2,	0.000000032,	0.000000051,	32768
addition cpu,	2,	0.000000032,	0.000000067,	65536
addition cpu,	2,	0.000000032,	0.000000086,	131072
addition cpu,	2,	0.000000032,	0.000000030,	262144
addition cpu,	2,	0.000000032,	0.000000053,	524288
addition cpu,	2,	0.000000031,	0.000000059,	1048576
addition cpu,	2,	0.000000031,	0.000000048,	2097152
addition cpu,	2,	0.000000035,	0.000001363,	4194304
addition cpu,	2,	0.000000031,	0.000000068,	8388608
addition cpu,	2,	0.000000033,	0.000000319,	16777216
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
addition cpu,	4,	0.000000161,	0.000000060,	2
addition cpu,	4,	0.000000065,	0.000000015,	4
addition cpu,	4,	0.000000057,	0.000000005,	8
addition cpu,	4,	0.000000056,	0.000000008,	16
addition cpu,	4,	0.000000055,	0.000000006,	32
addition cpu,	4,	0.000000056,	0.000000005,	64
addition cpu,	4,	0.000000053,	0.000000005,	128
addition cpu,	4,	0.000000053,	0.000000006,	256
addition cpu,	4,	0.000000053,	0.000000005,	512
addition cpu,	4,	0.000000053,	0.000000005,	1024
addition cpu,	4,	0.000000054,	0.000000005,	2048
addition cpu,	4,	0.000000056,	0.000000152,	4096
addition cpu,	4,	0.000000056,	0.000000005,	8192
addition cpu,	4,	0.000000055,	0.000000005,	16384
addition cpu,	4,	0.000000056,	0.000000006,	32768
addition cpu,	4,	0.000000057,	0.000000169,	65536
addition cpu,	4,	0.000000056,	0.000000047,	131072
addition cpu,	4,	0.000000056,	0.000000120,	262144
addition cpu,	4,	0.000000057,	0.000000191,	524288
addition cpu,	4,	0.000000055,	0.000000136,	1048576
addition cpu,	4,	0.000000055,	0.000000137,	2097152
addition cpu,	4,	0.000000056,	0.000000070,	4194304
addition cpu,	4,	0.000000055,	0.000000128,	8388608
addition cpu,	4,	0.000000057,	0.000000774,	16777216
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
addition cpu,	8,	0.000000265,	0.000000065,	2
addition cpu,	8,	0.000000166,	0.000000017,	4
addition cpu,	8,	0.000000160,	0.000000005,	8
addition cpu,	8,	0.000000159,	0.000000007,	16
addition cpu,	8,	0.000000154,	0.000000005,	32
addition cpu,	8,	0.000000154,	0.000000005,	64
addition cpu,	8,	0.000000156,	0.000000007,	128
addition cpu,	8,	0.000000152,	0.000000005,	256
addition cpu,	8,	0.000000156,	0.000000005,	512
addition cpu,	8,	0.000000154,	0.000000006,	1024
addition cpu,	8,	0.000000154,	0.000000006,	2048
addition cpu,	8,	0.000000150,	0.000000158,	4096
addition cpu,	8,	0.000000156,	0.000000007,	8192
addition cpu,	8,	0.000000147,	0.000000006,	16384
addition cpu,	8,	0.000000151,	0.000000178,	32768
addition cpu,	8,	0.000000151,	0.000000172,	65536
addition cpu,	8,	0.000000152,	0.000000100,	131072
addition cpu,	8,	0.000000156,	0.000000188,	262144
addition cpu,	8,	0.000000153,	0.000000162,	524288
addition cpu,	8,	0.000000152,	0.000000172,	1048576
addition cpu,	8,	0.000000152,	0.000000148,	2097152
addition cpu,	8,	0.000000154,	0.000000201,	4194304
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
addition cpu,	16,	0.000000732,	0.000000160,	2
addition cpu,	16,	0.000000551,	0.000000017,	4
addition cpu,	16,	0.000000544,	0.000000007,	8
addition cpu,	16,	0.000000692,	0.000000382,	16
addition cpu,	16,	0.000000575,	0.000000203,	32
addition cpu,	16,	0.000000547,	0.000000008,	64
addition cpu,	16,	0.000000536,	0.000000008,	128
addition cpu,	16,	0.000000536,	0.000000008,	256
addition cpu,	16,	0.000000556,	0.000000394,	512
addition cpu,	16,	0.000000540,	0.000000008,	1024
addition cpu,	16,	0.000000561,	0.000000010,	2048
addition cpu,	16,	0.000000556,	0.000000639,	4096
addition cpu,	16,	0.000000559,	0.000000216,	8192
addition cpu,	16,	0.000000544,	0.000000085,	16384
addition cpu,	16,	0.000000542,	0.000000160,	32768
addition cpu,	16,	0.000000543,	0.000000139,	65536
addition cpu,	16,	0.000000557,	0.000000323,	131072
addition cpu,	16,	0.000000546,	0.000000361,	262144
addition cpu,	16,	0.000000573,	0.000000973,	524288
addition cpu,	16,	0.000000554,	0.000000230,	1048576
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
addition cpu,	32,	0.000002751,	0.000000526,	2
addition cpu,	32,	0.000002114,	0.000000019,	4
addition cpu,	32,	0.000002098,	0.000000026,	8
addition cpu,	32,	0.000002095,	0.000000016,	16
addition cpu,	32,	0.000002097,	0.000000018,	32
addition cpu,	32,	0.000002100,	0.000000020,	64
addition cpu,	32,	0.000002095,	0.000000020,	128
addition cpu,	32,	0.000002139,	0.000000614,	256
addition cpu,	32,	0.000002114,	0.000000103,	512
addition cpu,	32,	0.000002126,	0.000000044,	1024
addition cpu,	32,	0.000002141,	0.000000304,	2048
addition cpu,	32,	0.000002160,	0.000000597,	4096
addition cpu,	32,	0.000002352,	0.000000907,	8192
addition cpu,	32,	0.000002160,	0.000000388,	16384
addition cpu,	32,	0.000002185,	0.000000746,	32768
addition cpu,	32,	0.000002098,	0.000000377,	65536
addition cpu,	32,	0.000002123,	0.000000483,	131072
addition cpu,	32,	0.000002119,	0.000000482,	262144
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
addition cpu,	64,	0.000012689,	0.000002340,	2
addition cpu,	64,	0.000013774,	0.000007684,	4
addition cpu,	64,	0.000009421,	0.000001132,	8
addition cpu,	64,	0.000008821,	0.000000146,	16
addition cpu,	64,	0.000008902,	0.000000043,	32
addition cpu,	64,	0.000008453,	0.000000994,	64
addition cpu,	64,	0.000008466,	0.000000931,	128
addition cpu,	64,	0.000008706,	0.000003667,	256
addition cpu,	64,	0.000008567,	0.000002884,	512
addition cpu,	64,	0.000008331,	0.000000783,	1024
addition cpu,	64,	0.000008663,	0.000002348,	2048
addition cpu,	64,	0.000008479,	0.000001335,	4096
addition cpu,	64,	0.000008403,	0.000001007,	8192
addition cpu,	64,	0.000008469,	0.000001060,	16384
addition cpu,	64,	0.000008488,	0.000001341,	32768
addition cpu,	64,	0.000008587,	0.000001457,	65536
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
addition cpu,	128,	0.000041885,	0.000008461,	2
addition cpu,	128,	0.000033654,	0.000000175,	4
addition cpu,	128,	0.000033881,	0.000000530,	8
addition cpu,	128,	0.000033588,	0.000000169,	16
addition cpu,	128,	0.000034401,	0.000002263,	32
addition cpu,	128,	0.000034854,	0.000003991,	64
addition cpu,	128,	0.000035381,	0.000004747,	128
addition cpu,	128,	0.000034019,	0.000001930,	256
addition cpu,	128,	0.000034029,	0.000002400,	512
addition cpu,	128,	0.000033725,	0.000002805,	1024
addition cpu,	128,	0.000033831,	0.000003281,	2048
addition cpu,	128,	0.000033418,	0.000002049,	4096
addition cpu,	128,	0.000034200,	0.000003569,	8192
addition cpu,	128,	0.000033581,	0.000002720,	16384
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
addition cpu,	256,	0.000168755,	0.000032627,	2
