Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
addition gpu multi core,	1,	0.145975841,	0.145216620,	2
addition gpu multi core,	1,	0.000833486,	0.000103756,	4
addition gpu multi core,	1,	0.000696124,	0.000044669,	8
addition gpu multi core,	1,	0.000683701,	0.000077343,	16
addition gpu multi core,	1,	0.000681638,	0.000037283,	32
addition gpu multi core,	1,	0.000672559,	0.000033549,	64
addition gpu multi core,	1,	0.000669154,	0.000041836,	128
addition gpu multi core,	1,	0.000643841,	0.000110159,	256
addition gpu multi core,	1,	0.000577533,	0.000064468,	512
addition gpu multi core,	1,	0.000631024,	0.000114771,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
addition gpu multi core,	2,	0.131934770,	0.131216527,	2
addition gpu multi core,	2,	0.000632608,	0.000021966,	4
addition gpu multi core,	2,	0.000592017,	0.000015550,	8
addition gpu multi core,	2,	0.000585948,	0.000030604,	16
addition gpu multi core,	2,	0.000582181,	0.000031929,	32
addition gpu multi core,	2,	0.000655517,	0.000485130,	64
addition gpu multi core,	2,	0.000606516,	0.000224738,	128
addition gpu multi core,	2,	0.000587070,	0.000138050,	256
addition gpu multi core,	2,	0.000570472,	0.000069848,	512
addition gpu multi core,	2,	0.000573886,	0.000053922,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
addition gpu multi core,	4,	0.120970607,	0.120294365,	2
addition gpu multi core,	4,	0.000580456,	0.000012534,	4
addition gpu multi core,	4,	0.000574513,	0.000016339,	8
addition gpu multi core,	4,	0.000628377,	0.000072111,	16
addition gpu multi core,	4,	0.000570841,	0.000035794,	32
addition gpu multi core,	4,	0.000572829,	0.000037220,	64
addition gpu multi core,	4,	0.000582046,	0.000039639,	128
addition gpu multi core,	4,	0.000575821,	0.000038876,	256
addition gpu multi core,	4,	0.000578160,	0.000060997,	512
addition gpu multi core,	4,	0.000572678,	0.000049138,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
addition gpu multi core,	8,	0.105603108,	0.104869526,	2
addition gpu multi core,	8,	0.000664869,	0.000044882,	4
addition gpu multi core,	8,	0.000615655,	0.000022392,	8
addition gpu multi core,	8,	0.000620270,	0.000054495,	16
addition gpu multi core,	8,	0.000629092,	0.000038600,	32
addition gpu multi core,	8,	0.000632867,	0.000040893,	64
addition gpu multi core,	8,	0.000669273,	0.000302893,	128
addition gpu multi core,	8,	0.000631529,	0.000218644,	256
addition gpu multi core,	8,	0.000606506,	0.000079216,	512
addition gpu multi core,	8,	0.000571956,	0.000059056,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
addition gpu multi core,	16,	0.115057727,	0.114419587,	2
addition gpu multi core,	16,	0.000587615,	0.000012012,	4
addition gpu multi core,	16,	0.000571788,	0.000011558,	8
