Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
addition gpu blocks,	2,	0.001118398,	0.000359934,	2
addition gpu blocks,	2,	0.000635641,	0.000034920,	4
addition gpu blocks,	2,	0.000644821,	0.000023021,	8
addition gpu blocks,	2,	0.000635821,	0.000027393,	16
addition gpu blocks,	2,	0.000643359,	0.000039116,	32
addition gpu blocks,	2,	0.000653326,	0.000041450,	64
addition gpu blocks,	2,	0.000680561,	0.000081371,	128
addition gpu blocks,	2,	0.000689599,	0.000119359,	256
addition gpu blocks,	2,	0.000580783,	0.000057828,	512
addition gpu blocks,	2,	0.000638826,	0.000121909,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
addition gpu blocks,	4,	0.001063858,	0.000208576,	2
addition gpu blocks,	4,	0.000689701,	0.000037719,	4
addition gpu blocks,	4,	0.000599584,	0.000038787,	8
addition gpu blocks,	4,	0.000593060,	0.000051495,	16
addition gpu blocks,	4,	0.000586187,	0.000036412,	32
addition gpu blocks,	4,	0.000637421,	0.000109703,	64
addition gpu blocks,	4,	0.000619267,	0.000085185,	128
addition gpu blocks,	4,	0.000609738,	0.000229059,	256
addition gpu blocks,	4,	0.000628311,	0.000235899,	512
addition gpu blocks,	4,	0.000595113,	0.000099212,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
addition gpu blocks,	8,	0.000973638,	0.000296914,	2
addition gpu blocks,	8,	0.000595735,	0.000036556,	4
addition gpu blocks,	8,	0.000556328,	0.000013248,	8
addition gpu blocks,	8,	0.000652998,	0.000076573,	16
addition gpu blocks,	8,	0.000615546,	0.000054339,	32
addition gpu blocks,	8,	0.000602920,	0.000054713,	64
addition gpu blocks,	8,	0.000626751,	0.000072661,	128
addition gpu blocks,	8,	0.000597542,	0.000071431,	256
addition gpu blocks,	8,	0.000596972,	0.000059958,	512
addition gpu blocks,	8,	0.000598148,	0.000062576,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
addition gpu blocks,	16,	0.000825321,	0.000253966,	2
addition gpu blocks,	16,	0.000585085,	0.000028046,	4
addition gpu blocks,	16,	0.000561672,	0.000026140,	8
addition gpu blocks,	16,	0.000546352,	0.000031136,	16
addition gpu blocks,	16,	0.000562788,	0.000034599,	32
addition gpu blocks,	16,	0.000547725,	0.000022348,	64
addition gpu blocks,	16,	0.000570729,	0.000066717,	128
