Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
addition gpu multi core,	2,	0.001215542,	0.000588813,	2
addition gpu multi core,	2,	0.000598393,	0.000020803,	4
addition gpu multi core,	2,	0.000563870,	0.000014965,	8
addition gpu multi core,	2,	0.000589822,	0.000034063,	16
addition gpu multi core,	2,	0.000617703,	0.000106756,	32
addition gpu multi core,	2,	0.000578337,	0.000037106,	64
addition gpu multi core,	2,	0.000602281,	0.000104465,	128
addition gpu multi core,	2,	0.000735008,	0.000445748,	256
addition gpu multi core,	2,	0.000582520,	0.000047764,	512
addition gpu multi core,	2,	0.000615186,	0.000099456,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
addition gpu multi core,	4,	0.000980300,	0.000313644,	2
addition gpu multi core,	4,	0.000698212,	0.000121385,	4
addition gpu multi core,	4,	0.000599754,	0.000041779,	8
addition gpu multi core,	4,	0.000576009,	0.000029691,	16
addition gpu multi core,	4,	0.000573562,	0.000036665,	32
addition gpu multi core,	4,	0.000596059,	0.000050055,	64
addition gpu multi core,	4,	0.000592350,	0.000045194,	128
addition gpu multi core,	4,	0.000597783,	0.000053993,	256
addition gpu multi core,	4,	0.000597667,	0.000060319,	512
addition gpu multi core,	4,	0.000601740,	0.000180451,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
addition gpu multi core,	8,	0.000926248,	0.000290071,	2
addition gpu multi core,	8,	0.000579319,	0.000013738,	4
addition gpu multi core,	8,	0.000578945,	0.000024121,	8
addition gpu multi core,	8,	0.000607594,	0.000133080,	16
addition gpu multi core,	8,	0.000572433,	0.000030447,	32
addition gpu multi core,	8,	0.000573823,	0.000037095,	64
addition gpu multi core,	8,	0.000661930,	0.000061629,	128
addition gpu multi core,	8,	0.000611459,	0.000059069,	256
addition gpu multi core,	8,	0.000607613,	0.000151644,	512
addition gpu multi core,	8,	0.000599575,	0.000056445,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
addition gpu multi core,	16,	0.000866149,	0.000251873,	2
addition gpu multi core,	16,	0.000574070,	0.000012010,	4
addition gpu multi core,	16,	0.000606152,	0.000032725,	8
addition gpu multi core,	16,	0.000575019,	0.000031297,	16
addition gpu multi core,	16,	0.000590089,	0.000108858,	32
addition gpu multi core,	16,	0.000591236,	0.000050200,	64
addition gpu multi core,	16,	0.000590496,	0.000050098,	128
addition gpu multi core,	16,	0.000589688,	0.000053287,	256
addition gpu multi core,	16,	0.000598346,	0.000058118,	512
addition gpu multi core,	16,	0.000604029,	0.000065236,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
addition gpu multi core,	32,	0.001064410,	0.000374845,	2
addition gpu multi core,	32,	0.000589526,	0.000033131,	4
addition gpu multi core,	32,	0.000609740,	0.000050600,	8
addition gpu multi core,	32,	0.000614977,	0.000056484,	16
addition gpu multi core,	32,	0.000565971,	0.000041438,	32
addition gpu multi core,	32,	0.000585901,	0.000065346,	64
addition gpu multi core,	32,	0.000585193,	0.000043544,	128
addition gpu multi core,	32,	0.000604637,	0.000053562,	256
