Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
addition cpu,	2,	0.000000160,	0.000000070,	2
addition cpu,	2,	0.000000130,	0.000000118,	4
addition cpu,	2,	0.000000048,	0.000000014,	8
addition cpu,	2,	0.000000041,	0.000000006,	16
addition cpu,	2,	0.000000039,	0.000000003,	32
addition cpu,	2,	0.000000039,	0.000000004,	64
addition cpu,	2,	0.000000039,	0.000000003,	128
addition cpu,	2,	0.000000039,	0.000000004,	256
addition cpu,	2,	0.000000040,	0.000000003,	512
addition cpu,	2,	0.000000040,	0.000000003,	1024
addition cpu,	2,	0.000000040,	0.000000003,	2048
addition cpu,	2,	0.000000034,	0.000000005,	4096
addition cpu,	2,	0.000000032,	0.000000006,	8192
addition cpu,	2,	0.000000032,	0.000000004,	16384
addition cpu,	2,	0.000000036,	0.000000242,	32768
addition cpu,	2,	0.000000032,	0.000000049,	65536
addition cpu,	2,	0.000000034,	0.000000141,	131072
addition cpu,	2,	0.000000032,	0.000000024,	262144
addition cpu,	2,	0.000000033,	0.000000119,	524288
addition cpu,	2,	0.000000032,	0.000000052,	1048576
addition cpu,	2,	0.000000032,	0.000000061,	2097152
addition cpu,	2,	0.000000032,	0.000000102,	4194304
addition cpu,	2,	0.000000032,	0.000000074,	8388608
addition cpu,	2,	0.000000032,	0.000000071,	16777216
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
addition cpu,	4,	0.000000190,	0.000000080,	2
addition cpu,	4,	0.000000075,	0.000000021,	4
addition cpu,	4,	0.000000056,	0.000000007,	8
addition cpu,	4,	0.000000058,	0.000000004,	16
addition cpu,	4,	0.000000060,	0.000000009,	32
addition cpu,	4,	0.000000058,	0.000000004,	64
addition cpu,	4,	0.000000056,	0.000000005,	128
addition cpu,	4,	0.000000058,	0.000000004,	256
addition cpu,	4,	0.000000055,	0.000000005,	512
addition cpu,	4,	0.000000056,	0.000000006,	1024
addition cpu,	4,	0.000000056,	0.000000005,	2048
addition cpu,	4,	0.000000056,	0.000000005,	4096
addition cpu,	4,	0.000000057,	0.000000005,	8192
addition cpu,	4,	0.000000058,	0.000000063,	16384
addition cpu,	4,	0.000000056,	0.000000005,	32768
addition cpu,	4,	0.000000058,	0.000000008,	65536
addition cpu,	4,	0.000000058,	0.000000113,	131072
addition cpu,	4,	0.000000057,	0.000000119,	262144
addition cpu,	4,	0.000000058,	0.000000139,	524288
addition cpu,	4,	0.000000056,	0.000000063,	1048576
addition cpu,	4,	0.000000055,	0.000000062,	2097152
addition cpu,	4,	0.000000056,	0.000000072,	4194304
addition cpu,	4,	0.000000056,	0.000000078,	8388608
addition cpu,	4,	0.000000056,	0.000000097,	16777216
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
addition cpu,	8,	0.000000286,	0.000000085,	2
addition cpu,	8,	0.000000170,	0.000000016,	4
addition cpu,	8,	0.000000161,	0.000000007,	8
addition cpu,	8,	0.000000160,	0.000000006,	16
addition cpu,	8,	0.000000160,	0.000000007,	32
addition cpu,	8,	0.000000160,	0.000000005,	64
addition cpu,	8,	0.000000157,	0.000000005,	128
addition cpu,	8,	0.000000161,	0.000000007,	256
addition cpu,	8,	0.000000158,	0.000000005,	512
addition cpu,	8,	0.000000161,	0.000000006,	1024
addition cpu,	8,	0.000000159,	0.000000006,	2048
addition cpu,	8,	0.000000152,	0.000000115,	4096
addition cpu,	8,	0.000000151,	0.000000006,	8192
addition cpu,	8,	0.000000148,	0.000000009,	16384
addition cpu,	8,	0.000000161,	0.000000165,	32768
addition cpu,	8,	0.000000152,	0.000000127,	65536
addition cpu,	8,	0.000000152,	0.000000131,	131072
addition cpu,	8,	0.000000151,	0.000000124,	262144
addition cpu,	8,	0.000000153,	0.000000101,	524288
addition cpu,	8,	0.000000154,	0.000000186,	1048576
addition cpu,	8,	0.000000159,	0.000000316,	2097152
addition cpu,	8,	0.000000153,	0.000000137,	4194304
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
addition cpu,	16,	0.000000706,	0.000000095,	2
addition cpu,	16,	0.000000566,	0.000000026,	4
addition cpu,	16,	0.000000555,	0.000000014,	8
addition cpu,	16,	0.000000555,	0.000000007,	16
addition cpu,	16,	0.000000547,	0.000000013,	32
addition cpu,	16,	0.000000546,	0.000000011,	64
addition cpu,	16,	0.000000550,	0.000000007,	128
addition cpu,	16,	0.000000547,	0.000000009,	256
addition cpu,	16,	0.000000555,	0.000000010,	512
addition cpu,	16,	0.000000553,	0.000000149,	1024
addition cpu,	16,	0.000000548,	0.000000009,	2048
addition cpu,	16,	0.000000551,	0.000000009,	4096
addition cpu,	16,	0.000000579,	0.000000567,	8192
addition cpu,	16,	0.000000548,	0.000000099,	16384
addition cpu,	16,	0.000000562,	0.000000582,	32768
addition cpu,	16,	0.000000565,	0.000000497,	65536
addition cpu,	16,	0.000000568,	0.000000573,	131072
addition cpu,	16,	0.000000555,	0.000000354,	262144
addition cpu,	16,	0.000000551,	0.000000278,	524288
addition cpu,	16,	0.000000552,	0.000000483,	1048576
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
addition cpu,	32,	0.000003562,	0.000000856,	2
addition cpu,	32,	0.000002693,	0.000000040,	4
addition cpu,	32,	0.000002663,	0.000000019,	8
addition cpu,	32,	0.000002686,	0.000000025,	16
addition cpu,	32,	0.000002676,	0.000000019,	32
addition cpu,	32,	0.000002670,	0.000000020,	64
addition cpu,	32,	0.000002672,	0.000000024,	128
addition cpu,	32,	0.000002289,	0.000000255,	256
addition cpu,	32,	0.000002154,	0.000000341,	512
addition cpu,	32,	0.000002103,	0.000000215,	1024
addition cpu,	32,	0.000002090,	0.000000275,	2048
addition cpu,	32,	0.000002138,	0.000000567,	4096
addition cpu,	32,	0.000002126,	0.000000510,	8192
addition cpu,	32,	0.000002126,	0.000000571,	16384
addition cpu,	32,	0.000002103,	0.000000334,	32768
addition cpu,	32,	0.000002137,	0.000000465,	65536
addition cpu,	32,	0.000002112,	0.000000451,	131072
addition cpu,	32,	0.000002110,	0.000000791,	262144
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
addition cpu,	64,	0.000011091,	0.000002454,	2
addition cpu,	64,	0.000008887,	0.000000087,	4
addition cpu,	64,	0.000008946,	0.000000028,	8
addition cpu,	64,	0.000008943,	0.000000023,	16
addition cpu,	64,	0.000008975,	0.000000040,	32
addition cpu,	64,	0.000009311,	0.000001903,	64
addition cpu,	64,	0.000009086,	0.000000797,	128
addition cpu,	64,	0.000008938,	0.000000077,	256
addition cpu,	64,	0.000009496,	0.000001983,	512
addition cpu,	64,	0.000009055,	0.000001137,	1024
addition cpu,	64,	0.000008988,	0.000000887,	2048
addition cpu,	64,	0.000009059,	0.000001783,	4096
addition cpu,	64,	0.000008847,	0.000000861,	8192
addition cpu,	64,	0.000008973,	0.000001465,	16384
addition cpu,	64,	0.000008915,	0.000001124,	32768
addition cpu,	64,	0.000009098,	0.000001639,	65536
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
addition cpu,	128,	0.000040682,	0.000007008,	2
addition cpu,	128,	0.000034641,	0.000000229,	4
addition cpu,	128,	0.000035668,	0.000003131,	8
addition cpu,	128,	0.000035395,	0.000001483,	16
addition cpu,	128,	0.000036213,	0.000003453,	32
addition cpu,	128,	0.000035870,	0.000000101,	64
addition cpu,	128,	0.000039150,	0.000008730,	128
