Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
diagnostic: single kernel with grid and block size = x,	2,	0.000030428,	0.000015359,	2
diagnostic: single kernel with grid and block size = x,	2,	0.000013686,	0.000006695,	4
diagnostic: single kernel with grid and block size = x,	2,	0.000007727,	0.000001815,	8
diagnostic: single kernel with grid and block size = x,	2,	0.000006857,	0.000001457,	16
diagnostic: single kernel with grid and block size = x,	2,	0.000006839,	0.000001428,	32
diagnostic: single kernel with grid and block size = x,	2,	0.000006694,	0.000001350,	64
diagnostic: single kernel with grid and block size = x,	2,	0.000006387,	0.000001260,	128
diagnostic: single kernel with grid and block size = x,	2,	0.000006903,	0.000003027,	256
diagnostic: single kernel with grid and block size = x,	2,	0.000007228,	0.000003661,	512
diagnostic: single kernel with grid and block size = x,	2,	0.000006001,	0.000002995,	1024
diagnostic: single kernel with grid and block size = x,	2,	0.000008121,	0.000090097,	2048
diagnostic: single kernel with grid and block size = x,	2,	0.000006823,	0.000046076,	4096
diagnostic: single kernel with grid and block size = x,	2,	0.000007370,	0.000086710,	8192
diagnostic: single kernel with grid and block size = x,	2,	0.000006973,	0.000081220,	16384
diagnostic: single kernel with grid and block size = x,	2,	0.000006900,	0.000070376,	32768
diagnostic: single kernel with grid and block size = x,	2,	0.000010482,	0.000117296,	65536
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
diagnostic: single kernel with grid and block size = x,	4,	0.000010359,	0.000005320,	2
diagnostic: single kernel with grid and block size = x,	4,	0.000005333,	0.000001675,	4
diagnostic: single kernel with grid and block size = x,	4,	0.000005512,	0.000000444,	8
diagnostic: single kernel with grid and block size = x,	4,	0.000004448,	0.000000900,	16
diagnostic: single kernel with grid and block size = x,	4,	0.000004683,	0.000000831,	32
diagnostic: single kernel with grid and block size = x,	4,	0.000004586,	0.000000832,	64
diagnostic: single kernel with grid and block size = x,	4,	0.000005053,	0.000001952,	128
diagnostic: single kernel with grid and block size = x,	4,	0.000005226,	0.000002368,	256
diagnostic: single kernel with grid and block size = x,	4,	0.000003937,	0.000001553,	512
diagnostic: single kernel with grid and block size = x,	4,	0.000007503,	0.000090148,	1024
diagnostic: single kernel with grid and block size = x,	4,	0.000006372,	0.000077626,	2048
diagnostic: single kernel with grid and block size = x,	4,	0.000005752,	0.000067488,	4096
diagnostic: single kernel with grid and block size = x,	4,	0.000005997,	0.000070568,	8192
diagnostic: single kernel with grid and block size = x,	4,	0.000005982,	0.000069866,	16384
diagnostic: single kernel with grid and block size = x,	4,	0.000006269,	0.000074065,	32768
diagnostic: single kernel with grid and block size = x,	4,	0.000006797,	0.000078256,	65536
diagnostic: single kernel with grid and block size = x,	4,	0.000006612,	0.000073395,	131072
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
diagnostic: single kernel with grid and block size = x,	8,	0.000039706,	0.000024376,	2
diagnostic: single kernel with grid and block size = x,	8,	0.000044003,	0.000038189,	4
diagnostic: single kernel with grid and block size = x,	8,	0.000030984,	0.000025557,	8
diagnostic: single kernel with grid and block size = x,	8,	0.000025695,	0.000015794,	16
diagnostic: single kernel with grid and block size = x,	8,	0.000027344,	0.000015097,	32
diagnostic: single kernel with grid and block size = x,	8,	0.000025568,	0.000014925,	64
diagnostic: single kernel with grid and block size = x,	8,	0.000026997,	0.000016432,	128
diagnostic: single kernel with grid and block size = x,	8,	0.000026305,	0.000014826,	256
diagnostic: single kernel with grid and block size = x,	8,	0.000008123,	0.000013169,	512
diagnostic: single kernel with grid and block size = x,	8,	0.000005288,	0.000063593,	1024
diagnostic: single kernel with grid and block size = x,	8,	0.000014471,	0.000090057,	2048
diagnostic: single kernel with grid and block size = x,	8,	0.000013216,	0.000139208,	4096
diagnostic: single kernel with grid and block size = x,	8,	0.000012485,	0.000133718,	8192
diagnostic: single kernel with grid and block size = x,	8,	0.000013750,	0.000109417,	16384
diagnostic: single kernel with grid and block size = x,	8,	0.000012749,	0.000135385,	32768
diagnostic: single kernel with grid and block size = x,	8,	0.000012602,	0.000102993,	65536
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
diagnostic: single kernel with grid and block size = x,	16,	0.000009999,	0.000005891,	2
diagnostic: single kernel with grid and block size = x,	16,	0.000004423,	0.000001027,	4
diagnostic: single kernel with grid and block size = x,	16,	0.000004670,	0.000000670,	8
diagnostic: single kernel with grid and block size = x,	16,	0.000004036,	0.000000609,	16
diagnostic: single kernel with grid and block size = x,	16,	0.000004238,	0.000002184,	32
diagnostic: single kernel with grid and block size = x,	16,	0.000003993,	0.000000736,	64
diagnostic: single kernel with grid and block size = x,	16,	0.000005649,	0.000001508,	128
diagnostic: single kernel with grid and block size = x,	16,	0.000005646,	0.000001039,	256
diagnostic: single kernel with grid and block size = x,	16,	0.000005640,	0.000001313,	512
diagnostic: single kernel with grid and block size = x,	16,	0.000004482,	0.000034982,	1024
diagnostic: single kernel with grid and block size = x,	16,	0.000006220,	0.000077425,	2048
diagnostic: single kernel with grid and block size = x,	16,	0.000005877,	0.000067741,	4096
diagnostic: single kernel with grid and block size = x,	16,	0.000005931,	0.000068678,	8192
diagnostic: single kernel with grid and block size = x,	16,	0.000005825,	0.000068985,	16384
diagnostic: single kernel with grid and block size = x,	16,	0.000007417,	0.000068003,	32768
diagnostic: single kernel with grid and block size = x,	16,	0.000007329,	0.000082697,	65536
diagnostic: single kernel with grid and block size = x,	16,	0.000009524,	0.000104983,	131072
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
diagnostic: single kernel with grid and block size = x,	32,	0.000008952,	0.000004734,	2
diagnostic: single kernel with grid and block size = x,	32,	0.000004842,	0.000000944,	4
diagnostic: single kernel with grid and block size = x,	32,	0.000004416,	0.000000600,	8
diagnostic: single kernel with grid and block size = x,	32,	0.000003725,	0.000000758,	16
diagnostic: single kernel with grid and block size = x,	32,	0.000004120,	0.000000781,	32
diagnostic: single kernel with grid and block size = x,	32,	0.000004529,	0.000003634,	64
diagnostic: single kernel with grid and block size = x,	32,	0.000003764,	0.000000708,	128
diagnostic: single kernel with grid and block size = x,	32,	0.000003697,	0.000000840,	256
diagnostic: single kernel with grid and block size = x,	32,	0.000003351,	0.000000516,	512
diagnostic: single kernel with grid and block size = x,	32,	0.000013935,	0.000076572,	1024
diagnostic: single kernel with grid and block size = x,	32,	0.000010229,	0.000117838,	2048
diagnostic: single kernel with grid and block size = x,	32,	0.000013079,	0.000137435,	4096
diagnostic: single kernel with grid and block size = x,	32,	0.000012376,	0.000133634,	8192
diagnostic: single kernel with grid and block size = x,	32,	0.000014241,	0.000145852,	16384
diagnostic: single kernel with grid and block size = x,	32,	0.000013766,	0.000124967,	32768
diagnostic: single kernel with grid and block size = x,	32,	0.000012181,	0.000118527,	65536
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
diagnostic: single kernel with grid and block size = x,	64,	0.000009473,	0.000003913,	2
diagnostic: single kernel with grid and block size = x,	64,	0.000003958,	0.000001283,	4
diagnostic: single kernel with grid and block size = x,	64,	0.000003503,	0.000000676,	8
diagnostic: single kernel with grid and block size = x,	64,	0.000003919,	0.000000730,	16
diagnostic: single kernel with grid and block size = x,	64,	0.000004011,	0.000000714,	32
diagnostic: single kernel with grid and block size = x,	64,	0.000003548,	0.000000623,	64
diagnostic: single kernel with grid and block size = x,	64,	0.000004092,	0.000001706,	128
diagnostic: single kernel with grid and block size = x,	64,	0.000003732,	0.000000811,	256
diagnostic: single kernel with grid and block size = x,	64,	0.000003266,	0.000000562,	512
diagnostic: single kernel with grid and block size = x,	64,	0.000005350,	0.000063109,	1024
diagnostic: single kernel with grid and block size = x,	64,	0.000006812,	0.000077260,	2048
diagnostic: single kernel with grid and block size = x,	64,	0.000006053,	0.000070679,	4096
diagnostic: single kernel with grid and block size = x,	64,	0.000006210,	0.000074093,	8192
diagnostic: single kernel with grid and block size = x,	64,	0.000006036,	0.000070707,	16384
diagnostic: single kernel with grid and block size = x,	64,	0.000005976,	0.000070087,	32768
diagnostic: single kernel with grid and block size = x,	64,	0.000006113,	0.000072419,	65536
diagnostic: single kernel with grid and block size = x,	64,	0.000006814,	0.000080715,	131072
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
diagnostic: single kernel with grid and block size = x,	128,	0.000008265,	0.000004358,	2
diagnostic: single kernel with grid and block size = x,	128,	0.000004072,	0.000001158,	4
diagnostic: single kernel with grid and block size = x,	128,	0.000003266,	0.000000376,	8
diagnostic: single kernel with grid and block size = x,	128,	0.000004200,	0.000000621,	16
diagnostic: single kernel with grid and block size = x,	128,	0.000003436,	0.000000593,	32
diagnostic: single kernel with grid and block size = x,	128,	0.000003778,	0.000000633,	64
diagnostic: single kernel with grid and block size = x,	128,	0.000003692,	0.000000704,	128
diagnostic: single kernel with grid and block size = x,	128,	0.000003891,	0.000000890,	256
diagnostic: single kernel with grid and block size = x,	128,	0.000003302,	0.000000362,	512
diagnostic: single kernel with grid and block size = x,	128,	0.000005405,	0.000063168,	1024
diagnostic: single kernel with grid and block size = x,	128,	0.000005483,	0.000062996,	2048
diagnostic: single kernel with grid and block size = x,	128,	0.000006031,	0.000070772,	4096
diagnostic: single kernel with grid and block size = x,	128,	0.000005719,	0.000067098,	8192
diagnostic: single kernel with grid and block size = x,	128,	0.000005959,	0.000070532,	16384
diagnostic: single kernel with grid and block size = x,	128,	0.000005776,	0.000067920,	32768
diagnostic: single kernel with grid and block size = x,	128,	0.000011281,	0.000122654,	65536
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
diagnostic: single kernel with grid and block size = x,	256,	0.000010295,	0.000004544,	2
diagnostic: single kernel with grid and block size = x,	256,	0.000004138,	0.000001298,	4
diagnostic: single kernel with grid and block size = x,	256,	0.000003383,	0.000000581,	8
diagnostic: single kernel with grid and block size = x,	256,	0.000004127,	0.000000720,	16
diagnostic: single kernel with grid and block size = x,	256,	0.000003944,	0.000000671,	32
