Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
multiplication cpu,	2,	0.000000241,	0.000000121,	2
multiplication cpu,	2,	0.000000068,	0.000000013,	4
multiplication cpu,	2,	0.000000060,	0.000000000,	8
multiplication cpu,	2,	0.000000060,	0.000000000,	16
multiplication cpu,	2,	0.000000061,	0.000000004,	32
multiplication cpu,	2,	0.000000061,	0.000000002,	64
multiplication cpu,	2,	0.000000061,	0.000000006,	128
multiplication cpu,	2,	0.000000061,	0.000000003,	256
multiplication cpu,	2,	0.000000061,	0.000000004,	512
multiplication cpu,	2,	0.000000061,	0.000000007,	1024
multiplication cpu,	2,	0.000000050,	0.000000003,	2048
multiplication cpu,	2,	0.000000049,	0.000000003,	4096
multiplication cpu,	2,	0.000000051,	0.000000102,	8192
multiplication cpu,	2,	0.000000050,	0.000000067,	16384
multiplication cpu,	2,	0.000000049,	0.000000005,	32768
multiplication cpu,	2,	0.000000052,	0.000000035,	65536
multiplication cpu,	2,	0.000000049,	0.000000051,	131072
multiplication cpu,	2,	0.000000051,	0.000000166,	262144
multiplication cpu,	2,	0.000000051,	0.000000117,	524288
multiplication cpu,	2,	0.000000050,	0.000000077,	1048576
multiplication cpu,	2,	0.000000050,	0.000000092,	2097152
multiplication cpu,	2,	0.000000050,	0.000000073,	4194304
multiplication cpu,	2,	0.000000051,	0.000000114,	8388608
multiplication cpu,	2,	0.000000050,	0.000000093,	16777216
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
multiplication cpu,	4,	0.000000411,	0.000000130,	2
multiplication cpu,	4,	0.000000213,	0.000000022,	4
multiplication cpu,	4,	0.000000200,	0.000000013,	8
multiplication cpu,	4,	0.000000198,	0.000000007,	16
multiplication cpu,	4,	0.000000198,	0.000000008,	32
multiplication cpu,	4,	0.000000200,	0.000000006,	64
multiplication cpu,	4,	0.000000198,	0.000000005,	128
multiplication cpu,	4,	0.000000199,	0.000000006,	256
multiplication cpu,	4,	0.000000198,	0.000000006,	512
multiplication cpu,	4,	0.000000194,	0.000000006,	1024
multiplication cpu,	4,	0.000000237,	0.000001871,	2048
multiplication cpu,	4,	0.000000196,	0.000000006,	4096
multiplication cpu,	4,	0.000000195,	0.000000006,	8192
multiplication cpu,	4,	0.000000204,	0.000000672,	16384
multiplication cpu,	4,	0.000000206,	0.000000305,	32768
multiplication cpu,	4,	0.000000192,	0.000000164,	65536
multiplication cpu,	4,	0.000000193,	0.000000117,	131072
multiplication cpu,	4,	0.000000198,	0.000000159,	262144
multiplication cpu,	4,	0.000000194,	0.000000133,	524288
multiplication cpu,	4,	0.000000194,	0.000000133,	1048576
multiplication cpu,	4,	0.000000195,	0.000000131,	2097152
multiplication cpu,	4,	0.000000196,	0.000000170,	4194304
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
multiplication cpu,	8,	0.000001679,	0.000000135,	2
multiplication cpu,	8,	0.000001573,	0.000000048,	4
multiplication cpu,	8,	0.000001518,	0.000000026,	8
multiplication cpu,	8,	0.000001522,	0.000000014,	16
multiplication cpu,	8,	0.000001525,	0.000000015,	32
multiplication cpu,	8,	0.000001526,	0.000000019,	64
multiplication cpu,	8,	0.000001526,	0.000000016,	128
multiplication cpu,	8,	0.000001528,	0.000000021,	256
multiplication cpu,	8,	0.000001546,	0.000000309,	512
multiplication cpu,	8,	0.000001476,	0.000000020,	1024
multiplication cpu,	8,	0.000001497,	0.000000519,	2048
multiplication cpu,	8,	0.000001504,	0.000000424,	4096
multiplication cpu,	8,	0.000001535,	0.000000581,	8192
multiplication cpu,	8,	0.000001540,	0.000000614,	16384
multiplication cpu,	8,	0.000001546,	0.000000790,	32768
multiplication cpu,	8,	0.000001503,	0.000000267,	65536
multiplication cpu,	8,	0.000001513,	0.000000361,	131072
multiplication cpu,	8,	0.000001575,	0.000000465,	262144
multiplication cpu,	8,	0.000001504,	0.000000317,	524288
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
multiplication cpu,	16,	0.000012584,	0.000000121,	2
multiplication cpu,	16,	0.000012451,	0.000000025,	4
multiplication cpu,	16,	0.000012419,	0.000000055,	8
multiplication cpu,	16,	0.000012420,	0.000000044,	16
multiplication cpu,	16,	0.000012445,	0.000000054,	32
multiplication cpu,	16,	0.000012430,	0.000000060,	64
multiplication cpu,	16,	0.000012360,	0.000001328,	128
multiplication cpu,	16,	0.000012211,	0.000000051,	256
multiplication cpu,	16,	0.000013127,	0.000002898,	512
multiplication cpu,	16,	0.000012294,	0.000000385,	1024
multiplication cpu,	16,	0.000012326,	0.000001462,	2048
multiplication cpu,	16,	0.000012343,	0.000000687,	4096
multiplication cpu,	16,	0.000012468,	0.000001389,	8192
multiplication cpu,	16,	0.000012649,	0.000001236,	16384
multiplication cpu,	16,	0.000012504,	0.000001484,	32768
multiplication cpu,	16,	0.000012474,	0.000001265,	65536
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
multiplication cpu,	32,	0.000102279,	0.000003451,	2
multiplication cpu,	32,	0.000098793,	0.000000058,	4
multiplication cpu,	32,	0.000099068,	0.000000298,	8
multiplication cpu,	32,	0.000097924,	0.000001179,	16
multiplication cpu,	32,	0.000099106,	0.000002726,	32
multiplication cpu,	32,	0.000097848,	0.000002158,	64
multiplication cpu,	32,	0.000102361,	0.000011169,	128
multiplication cpu,	32,	0.000098974,	0.000002627,	256
multiplication cpu,	32,	0.000099727,	0.000006607,	512
multiplication cpu,	32,	0.000097464,	0.000004106,	1024
multiplication cpu,	32,	0.000096959,	0.000003678,	2048
multiplication cpu,	32,	0.000098107,	0.000005650,	4096
multiplication cpu,	32,	0.000098419,	0.000007159,	8192
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
multiplication cpu,	64,	0.000801020,	0.000009458,	2
multiplication cpu,	64,	0.000777600,	0.000000076,	4
multiplication cpu,	64,	0.000783380,	0.000003793,	8
multiplication cpu,	64,	0.000786626,	0.000010201,	16
multiplication cpu,	64,	0.000787861,	0.000010508,	32
multiplication cpu,	64,	0.000787927,	0.000006324,	64
multiplication cpu,	64,	0.000790553,	0.000037678,	128
multiplication cpu,	64,	0.000792236,	0.000033283,	256
multiplication cpu,	64,	0.000784086,	0.000033398,	512
multiplication cpu,	64,	0.000784898,	0.000044082,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
multiplication cpu,	128,	0.006361638,	0.000003617,	2
multiplication cpu,	128,	0.006408475,	0.000042938,	4
multiplication cpu,	128,	0.006327727,	0.000083066,	8
multiplication cpu,	128,	0.006251852,	0.000081408,	16
multiplication cpu,	128,	0.006307067,	0.000142912,	32
multiplication cpu,	128,	0.006309343,	0.000173774,	64
multiplication cpu,	128,	0.006262917,	0.000121474,	128
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
multiplication cpu,	256,	0.050554794,	0.000014730,	2
multiplication cpu,	256,	0.050624260,	0.000204962,	4
multiplication cpu,	256,	0.050446788,	0.000277754,	8
multiplication cpu,	256,	0.050722001,	0.000686045,	16
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
multiplication cpu,	512,	0.408681205,	0.001293810,	2
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
multiplication cpu,	1024,	3.703888474,	0.002256762,	2
