Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
multiplication gpu multi core unwrapping i and j,	2,	0.001042233,	0.000345972,	2
multiplication gpu multi core unwrapping i and j,	2,	0.000654064,	0.000012721,	4
multiplication gpu multi core unwrapping i and j,	2,	0.000677433,	0.000020609,	8
multiplication gpu multi core unwrapping i and j,	2,	0.000647730,	0.000028333,	16
multiplication gpu multi core unwrapping i and j,	2,	0.000639691,	0.000051265,	32
multiplication gpu multi core unwrapping i and j,	2,	0.000582547,	0.000030876,	64
multiplication gpu multi core unwrapping i and j,	2,	0.000598901,	0.000106492,	128
multiplication gpu multi core unwrapping i and j,	2,	0.000716198,	0.000165273,	256
multiplication gpu multi core unwrapping i and j,	2,	0.000638827,	0.000084211,	512
multiplication gpu multi core unwrapping i and j,	2,	0.000661503,	0.000112200,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
multiplication gpu multi core unwrapping i and j,	4,	0.000968005,	0.000228091,	2
multiplication gpu multi core unwrapping i and j,	4,	0.000671625,	0.000030124,	4
multiplication gpu multi core unwrapping i and j,	4,	0.000666842,	0.000036083,	8
multiplication gpu multi core unwrapping i and j,	4,	0.000631867,	0.000035642,	16
multiplication gpu multi core unwrapping i and j,	4,	0.000606823,	0.000034667,	32
multiplication gpu multi core unwrapping i and j,	4,	0.000645467,	0.000050692,	64
multiplication gpu multi core unwrapping i and j,	4,	0.000658237,	0.000064001,	128
multiplication gpu multi core unwrapping i and j,	4,	0.000679236,	0.000063761,	256
multiplication gpu multi core unwrapping i and j,	4,	0.000663320,	0.000060683,	512
multiplication gpu multi core unwrapping i and j,	4,	0.000611605,	0.000059153,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
multiplication gpu multi core unwrapping i and j,	8,	0.000991766,	0.000254698,	2
multiplication gpu multi core unwrapping i and j,	8,	0.000679460,	0.000005628,	4
multiplication gpu multi core unwrapping i and j,	8,	0.000696459,	0.000042671,	8
multiplication gpu multi core unwrapping i and j,	8,	0.000689971,	0.000030318,	16
multiplication gpu multi core unwrapping i and j,	8,	0.000610349,	0.000034243,	32
multiplication gpu multi core unwrapping i and j,	8,	0.000697007,	0.000398851,	64
multiplication gpu multi core unwrapping i and j,	8,	0.000639410,	0.000257327,	128
multiplication gpu multi core unwrapping i and j,	8,	0.000609696,	0.000183799,	256
multiplication gpu multi core unwrapping i and j,	8,	0.000614414,	0.000164465,	512
