Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
multiplication cpu,	2,	0.000000215,	0.000000105,	2
multiplication cpu,	2,	0.000000060,	0.000000017,	4
multiplication cpu,	2,	0.000000050,	0.000000000,	8
multiplication cpu,	2,	0.000000051,	0.000000002,	16
multiplication cpu,	2,	0.000000050,	0.000000008,	32
multiplication cpu,	2,	0.000000050,	0.000000004,	64
multiplication cpu,	2,	0.000000049,	0.000000004,	128
multiplication cpu,	2,	0.000000050,	0.000000002,	256
multiplication cpu,	2,	0.000000049,	0.000000004,	512
multiplication cpu,	2,	0.000000050,	0.000000004,	1024
multiplication cpu,	2,	0.000000050,	0.000000003,	2048
multiplication cpu,	2,	0.000000050,	0.000000003,	4096
multiplication cpu,	2,	0.000000050,	0.000000066,	8192
multiplication cpu,	2,	0.000000050,	0.000000068,	16384
multiplication cpu,	2,	0.000000051,	0.000000084,	32768
multiplication cpu,	2,	0.000000050,	0.000000028,	65536
multiplication cpu,	2,	0.000000050,	0.000000146,	131072
multiplication cpu,	2,	0.000000050,	0.000000066,	262144
multiplication cpu,	2,	0.000000050,	0.000000120,	524288
multiplication cpu,	2,	0.000000050,	0.000000089,	1048576
multiplication cpu,	2,	0.000000050,	0.000000082,	2097152
multiplication cpu,	2,	0.000000050,	0.000000076,	4194304
multiplication cpu,	2,	0.000000051,	0.000000098,	8388608
multiplication cpu,	2,	0.000000050,	0.000000085,	16777216
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
multiplication cpu,	4,	0.000000470,	0.000000121,	2
multiplication cpu,	4,	0.000000268,	0.000000037,	4
multiplication cpu,	4,	0.000000253,	0.000000018,	8
multiplication cpu,	4,	0.000000246,	0.000000005,	16
multiplication cpu,	4,	0.000000248,	0.000000009,	32
multiplication cpu,	4,	0.000000246,	0.000000005,	64
multiplication cpu,	4,	0.000000245,	0.000000007,	128
multiplication cpu,	4,	0.000000246,	0.000000007,	256
multiplication cpu,	4,	0.000000246,	0.000000007,	512
multiplication cpu,	4,	0.000000247,	0.000000007,	1024
multiplication cpu,	4,	0.000000222,	0.000000027,	2048
multiplication cpu,	4,	0.000000194,	0.000000101,	4096
multiplication cpu,	4,	0.000000193,	0.000000006,	8192
multiplication cpu,	4,	0.000000192,	0.000000005,	16384
multiplication cpu,	4,	0.000000196,	0.000000161,	32768
multiplication cpu,	4,	0.000000197,	0.000000149,	65536
multiplication cpu,	4,	0.000000202,	0.000000102,	131072
multiplication cpu,	4,	0.000000199,	0.000000179,	262144
multiplication cpu,	4,	0.000000201,	0.000000126,	524288
multiplication cpu,	4,	0.000000199,	0.000000257,	1048576
multiplication cpu,	4,	0.000000197,	0.000000133,	2097152
multiplication cpu,	4,	0.000000197,	0.000000147,	4194304
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
multiplication cpu,	8,	0.000001713,	0.000000090,	2
multiplication cpu,	8,	0.000001573,	0.000000047,	4
multiplication cpu,	8,	0.000001563,	0.000000032,	8
