Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
qr cpu,	2,	0.000169267,	0.000169045,	2
qr cpu,	2,	0.000000135,	0.000000025,	4
qr cpu,	2,	0.000000106,	0.000000005,	8
qr cpu,	2,	0.000000110,	0.000000009,	16
qr cpu,	2,	0.000000109,	0.000000007,	32
qr cpu,	2,	0.000000125,	0.000000007,	64
qr cpu,	2,	0.000000115,	0.000000016,	128
qr cpu,	2,	0.000000107,	0.000000005,	256
qr cpu,	2,	0.000000108,	0.000000005,	512
qr cpu,	2,	0.000000107,	0.000000006,	1024
qr cpu,	2,	0.000000110,	0.000000007,	2048
qr cpu,	2,	0.000000107,	0.000000005,	4096
qr cpu,	2,	0.000000108,	0.000000008,	8192
qr cpu,	2,	0.000000108,	0.000000210,	16384
qr cpu,	2,	0.000000106,	0.000000064,	32768
qr cpu,	2,	0.000000110,	0.000000248,	65536
qr cpu,	2,	0.000000107,	0.000000082,	131072
qr cpu,	2,	0.000000107,	0.000000093,	262144
qr cpu,	2,	0.000000107,	0.000000116,	524288
qr cpu,	2,	0.000000110,	0.000000169,	1048576
qr cpu,	2,	0.000000109,	0.000000226,	2097152
qr cpu,	2,	0.000000107,	0.000000117,	4194304
qr cpu,	2,	0.000000108,	0.000000135,	8388608
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
qr cpu,	4,	0.000001177,	0.000000656,	2
qr cpu,	4,	0.000000346,	0.000000053,	4
qr cpu,	4,	0.000000311,	0.000000019,	8
qr cpu,	4,	0.000000310,	0.000000018,	16
qr cpu,	4,	0.000000312,	0.000000018,	32
qr cpu,	4,	0.000000384,	0.000000010,	64
qr cpu,	4,	0.000000330,	0.000000045,	128
qr cpu,	4,	0.000000305,	0.000000008,	256
qr cpu,	4,	0.000000305,	0.000000006,	512
qr cpu,	4,	0.000000305,	0.000000007,	1024
qr cpu,	4,	0.000000298,	0.000000009,	2048
qr cpu,	4,	0.000000299,	0.000000008,	4096
qr cpu,	4,	0.000000298,	0.000000139,	8192
qr cpu,	4,	0.000000301,	0.000000113,	16384
qr cpu,	4,	0.000000300,	0.000000055,	32768
qr cpu,	4,	0.000000301,	0.000000135,	65536
qr cpu,	4,	0.000000302,	0.000000250,	131072
qr cpu,	4,	0.000000302,	0.000000126,	262144
qr cpu,	4,	0.000000306,	0.000000203,	524288
qr cpu,	4,	0.000000306,	0.000000231,	1048576
qr cpu,	4,	0.000000305,	0.000000167,	2097152
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
qr cpu,	8,	0.000002595,	0.000000641,	2
qr cpu,	8,	0.000001558,	0.000000081,	4
qr cpu,	8,	0.000001533,	0.000000064,	8
qr cpu,	8,	0.000001500,	0.000000037,	16
qr cpu,	8,	0.000001502,	0.000000048,	32
qr cpu,	8,	0.000001941,	0.000000058,	64
qr cpu,	8,	0.000001591,	0.000000184,	128
qr cpu,	8,	0.000001484,	0.000000014,	256
qr cpu,	8,	0.000001485,	0.000000021,	512
qr cpu,	8,	0.000001488,	0.000000075,	1024
qr cpu,	8,	0.000001537,	0.000000520,	2048
qr cpu,	8,	0.000001489,	0.000000155,	4096
qr cpu,	8,	0.000001673,	0.000000578,	8192
