Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M3: addition cpu,	2,	0.000000160,	0.000000061,	2
M3: addition cpu,	2,	0.000000048,	0.000000031,	4
M3: addition cpu,	2,	0.000000032,	0.000000007,	8
M3: addition cpu,	2,	0.000000030,	0.000000000,	16
M3: addition cpu,	2,	0.000000029,	0.000000004,	32
M3: addition cpu,	2,	0.000000029,	0.000000003,	64
M3: addition cpu,	2,	0.000000030,	0.000000004,	128
M3: addition cpu,	2,	0.000000029,	0.000000003,	256
M3: addition cpu,	2,	0.000000029,	0.000000003,	512
M3: addition cpu,	2,	0.000000029,	0.000000003,	1024
M3: addition cpu,	2,	0.000000029,	0.000000003,	2048
M3: addition cpu,	2,	0.000000033,	0.000000227,	4096
M3: addition cpu,	2,	0.000000029,	0.000000003,	8192
M3: addition cpu,	2,	0.000000030,	0.000000078,	16384
M3: addition cpu,	2,	0.000000029,	0.000000003,	32768
M3: addition cpu,	2,	0.000000031,	0.000000005,	65536
M3: addition cpu,	2,	0.000000029,	0.000000003,	131072
M3: addition cpu,	2,	0.000000030,	0.000000117,	262144
M3: addition cpu,	2,	0.000000030,	0.000000073,	524288
M3: addition cpu,	2,	0.000000030,	0.000000073,	1048576
M3: addition cpu,	2,	0.000000030,	0.000000057,	2097152
M3: addition cpu,	2,	0.000000030,	0.000000053,	4194304
M3: addition cpu,	2,	0.000000030,	0.000000044,	8388608
M3: addition cpu,	2,	0.000000029,	0.000000036,	16777216
M3: addition cpu,	2,	0.000000029,	0.000000036,	33554432
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M3: addition cpu,	4,	0.000000291,	0.000000201,	2
M3: addition cpu,	4,	0.000000065,	0.000000021,	4
M3: addition cpu,	4,	0.000000053,	0.000000004,	8
M3: addition cpu,	4,	0.000000054,	0.000000005,	16
M3: addition cpu,	4,	0.000000051,	0.000000003,	32
M3: addition cpu,	4,	0.000000052,	0.000000004,	64
M3: addition cpu,	4,	0.000000051,	0.000000003,	128
M3: addition cpu,	4,	0.000000052,	0.000000004,	256
M3: addition cpu,	4,	0.000000053,	0.000000004,	512
M3: addition cpu,	4,	0.000000053,	0.000000004,	1024
M3: addition cpu,	4,	0.000000052,	0.000000004,	2048
M3: addition cpu,	4,	0.000000053,	0.000000004,	4096
M3: addition cpu,	4,	0.000000051,	0.000000004,	8192
M3: addition cpu,	4,	0.000000052,	0.000000062,	16384
M3: addition cpu,	4,	0.000000052,	0.000000079,	32768
M3: addition cpu,	4,	0.000000052,	0.000000038,	65536
M3: addition cpu,	4,	0.000000053,	0.000000028,	131072
M3: addition cpu,	4,	0.000000052,	0.000000067,	262144
M3: addition cpu,	4,	0.000000052,	0.000000050,	524288
M3: addition cpu,	4,	0.000000053,	0.000000028,	1048576
M3: addition cpu,	4,	0.000000053,	0.000000039,	2097152
M3: addition cpu,	4,	0.000000053,	0.000000054,	4194304
M3: addition cpu,	4,	0.000000053,	0.000000059,	8388608
M3: addition cpu,	4,	0.000000056,	0.000000074,	16777216
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M3: addition cpu,	8,	0.000000301,	0.000000111,	2
M3: addition cpu,	8,	0.000000158,	0.000000008,	4
M3: addition cpu,	8,	0.000000148,	0.000000004,	8
